,model,Cores,GBRAM,batchSize,learningRate,learningRateDecay,status,accuracy,responsetime
102,1,8,3,256,0.1,0.001,0,0.980900,190.000627
103,1,1,3,256,0.1,0.001,1,0.982400,299.972086
104,1,8,6,512,0.001,0.001,0,0.577100,131.794357
105,1,1,6,512,0.001,0.001,0,0.650100,247.128903
106,1,8,3,512,0.001,0.001,0,0.557900,131.867086
107,1,1,3,512,0.001,0.001,0,0.550400,249.017900
108,1,8,6,256,0.001,0.001,0,0.672400,190.906951
109,1,1,6,256,0.001,0.001,1,0.631900,298.033731
110,1,8,3,256,0.001,0.001,0,0.698400,192.040088
111,1,1,3,256,0.001,0.001,1,0.680700,298.940891
112,1,8,6,512,0.1,0.0001,0,0.981500,134.010598
113,1,1,6,512,0.1,0.0001,0,0.981700,244.981481
114,1,8,3,512,0.1,0.0001,0,0.981900,131.776536
115,1,1,3,512,0.1,0.0001,0,0.982000,247.900005
116,1,8,6,256,0.1,0.0001,0,0.983300,191.772935
117,1,1,6,256,0.1,0.0001,1,0.987400,297.040553
118,1,8,3,256,0.1,0.0001,0,0.985400,190.884786
119,1,1,3,256,0.1,0.0001,1,0.985300,297.997691
120,1,8,6,512,0.001,0.0001,0,0.681400,130.762894
121,1,1,6,512,0.001,0.0001,0,0.671500,248.023821
122,1,8,3,512,0.001,0.0001,0,0.618100,130.846340
123,1,1,3,512,0.001,0.0001,0,0.720400,246.852797
124,1,8,6,256,0.001,0.0001,0,0.742900,189.800395
125,1,1,6,256,0.001,0.0001,1,0.821000,296.919131
126,1,8,3,256,0.001,0.0001,0,0.776300,189.980914
127,1,1,3,256,0.001,0.0001,1,0.763200,299.059317
128,1,8,6,512,0.1,0.001,0,0.978000,130.937110
129,1,1,6,512,0.1,0.001,0,0.977000,247.827222
130,1,8,3,512,0.1,0.001,0,0.978500,129.963876
131,1,1,3,512,0.1,0.001,0,0.977300,246.869635
132,1,8,6,256,0.1,0.001,0,0.983500,189.956044
133,1,1,6,256,0.1,0.001,1,0.981100,298.151133
134,1,8,3,256,0.1,0.001,0,0.980900,189.914623
135,1,1,3,256,0.1,0.001,1,0.982300,297.258593
136,1,8,6,512,0.001,0.001,0,0.467100,130.691771
137,1,1,6,512,0.001,0.001,0,0.550600,248.898883
138,1,8,3,512,0.001,0.001,0,0.590200,131.023649
139,1,1,3,512,0.001,0.001,0,0.553400,249.198562
140,1,8,6,256,0.001,0.001,0,0.681500,189.971497
141,1,1,6,256,0.001,0.001,1,0.633100,298.109753
142,1,8,3,256,0.001,0.001,0,0.625800,190.028957
143,1,1,3,256,0.001,0.001,1,0.709800,297.022144
144,1,8,6,512,0.1,0.0001,0,0.981300,130.182236
145,1,1,6,512,0.1,0.0001,0,0.984800,247.649846
146,1,8,3,512,0.1,0.0001,0,0.982400,130.553234
147,1,1,3,512,0.1,0.0001,0,0.981100,246.706474
148,1,8,6,256,0.1,0.0001,0,0.985100,190.007583
149,1,1,6,256,0.1,0.0001,1,0.986800,297.350192
150,1,8,3,256,0.1,0.0001,0,0.987000,189.039851
151,1,1,3,256,0.1,0.0001,1,0.987000,296.043211
152,1,8,6,512,0.001,0.0001,0,0.666600,129.778287
153,1,1,6,512,0.001,0.0001,0,0.673900,246.623903
154,1,8,3,512,0.001,0.0001,0,0.674600,130.843195
155,1,1,3,512,0.001,0.0001,0,0.664600,247.288316
156,1,8,6,256,0.001,0.0001,0,0.777600,189.615922
157,1,1,6,256,0.001,0.0001,1,0.771300,297.871889
158,1,8,3,256,0.001,0.0001,0,0.820300,190.819237
159,1,1,3,256,0.001,0.0001,1,0.804700,297.101780
160,1,8,6,512,0.1,0.001,0,0.978600,129.897898
161,1,1,6,512,0.1,0.001,0,0.979200,246.687833
162,1,8,3,512,0.1,0.001,0,0.977200,130.937094
163,1,1,3,512,0.1,0.001,0,0.978500,248.859951
164,1,8,6,256,0.1,0.001,0,0.981700,189.977394
165,1,1,6,256,0.1,0.001,1,0.980000,299.090579
166,1,8,3,256,0.1,0.001,0,0.981300,192.845349
167,1,1,3,256,0.1,0.001,1,0.979900,299.992657
168,1,8,6,512,0.001,0.001,0,0.627300,133.052087
169,1,1,6,512,0.001,0.001,1,0.635300,250.106000
170,1,8,3,512,0.001,0.001,0,0.497500,134.071533
171,1,1,3,512,0.001,0.001,1,0.500700,251.074428
172,1,8,6,256,0.001,0.001,0,0.627500,194.202126
173,1,1,6,256,0.001,0.001,1,0.629400,301.395837
174,1,8,3,256,0.001,0.001,0,0.585800,192.889273
175,1,1,3,256,0.001,0.001,1,0.677300,301.185460
176,1,8,6,512,0.1,0.0001,0,0.982500,133.043915
177,1,1,6,512,0.1,0.0001,0,0.984300,249.294520
178,1,8,3,512,0.1,0.0001,0,0.981700,131.874936
179,1,1,3,512,0.1,0.0001,0,0.983500,246.880300
180,1,8,6,256,0.1,0.0001,0,0.985000,189.807139
181,1,1,6,256,0.1,0.0001,1,0.986600,297.023274
182,1,8,3,256,0.1,0.0001,0,0.985400,190.948550
183,1,1,3,256,0.1,0.0001,1,0.984700,298.991012
184,1,8,6,512,0.001,0.0001,0,0.647200,131.926883
185,1,1,6,512,0.001,0.0001,0,0.641800,247.635785
186,1,8,3,512,0.001,0.0001,0,0.697900,132.003022
187,1,1,3,512,0.001,0.0001,0,0.641300,248.235538
188,1,8,6,256,0.001,0.0001,0,0.780400,190.865829
189,1,1,6,256,0.001,0.0001,1,0.764600,299.645393
190,1,8,3,256,0.001,0.0001,0,0.774000,188.842687
191,1,1,3,256,0.001,0.0001,1,0.747700,295.729998
