model,Cores,GBRAM,batchSize,learningRate,learningRateDecay,status,accuracy,responsetime
bi-rnn,1,3,512,0.001,0.0001,slow,0.094800,293.310698
bi-rnn,8,6,256,0.001,0.0001,slow,0.107500,242.992106
bi-rnn,1,6,256,0.001,0.0001,slow,0.122500,349.292134
bi-rnn,8,3,256,0.001,0.0001,slow,0.112300,244.059819
bi-rnn,1,3,256,0.001,0.0001,slow,0.114300,354.253388
lenet5,8,6,512,0.1,0.001,normal,0.975000,132.673213
lenet5,1,6,512,0.1,0.001,normal,0.978300,246.775732
lenet5,8,3,512,0.1,0.001,normal,0.978800,130.815399
lenet5,1,3,512,0.1,0.001,normal,0.976600,246.841096
lenet5,8,6,256,0.1,0.001,normal,0.980600,190.849115
lenet5,1,6,256,0.1,0.001,slow,0.982200,296.030721
lenet5,8,3,256,0.1,0.001,normal,0.980900,190.000627
lenet5,1,3,256,0.1,0.001,slow,0.982400,299.972086
lenet5,8,6,512,0.001,0.001,slow,0.577100,131.794357
lenet5,1,6,512,0.001,0.001,slow,0.650100,247.128903
lenet5,8,3,512,0.001,0.001,slow,0.557900,131.867086
lenet5,1,3,512,0.001,0.001,slow,0.550400,249.017900
lenet5,8,6,256,0.001,0.001,slow,0.672400,190.906951
lenet5,1,6,256,0.001,0.001,slow,0.631900,298.033731
lenet5,8,3,256,0.001,0.001,slow,0.698400,192.040088
lenet5,1,3,256,0.001,0.001,slow,0.680700,298.940891
lenet5,8,6,512,0.1,0.0001,normal,0.981500,134.010598
lenet5,1,6,512,0.1,0.0001,normal,0.981700,244.981481
lenet5,8,3,512,0.1,0.0001,normal,0.981900,131.776536
lenet5,1,3,512,0.1,0.0001,normal,0.982000,247.900005
lenet5,8,6,256,0.1,0.0001,normal,0.983300,191.772935
lenet5,1,6,256,0.1,0.0001,slow,0.987400,297.040553
lenet5,8,3,256,0.1,0.0001,normal,0.985400,190.884786
lenet5,1,3,256,0.1,0.0001,slow,0.985300,297.997691
lenet5,8,6,512,0.001,0.0001,slow,0.681400,130.762894
lenet5,1,6,512,0.001,0.0001,slow,0.671500,248.023821
lenet5,8,3,512,0.001,0.0001,slow,0.618100,130.846340
lenet5,1,3,512,0.001,0.0001,slow,0.720400,246.852797
lenet5,8,6,256,0.001,0.0001,slow,0.742900,189.800395
lenet5,1,6,256,0.001,0.0001,slow,0.821000,296.919131
lenet5,8,3,256,0.001,0.0001,slow,0.776300,189.980914
lenet5,1,3,256,0.001,0.0001,slow,0.763200,299.059317
lenet5,8,6,512,0.1,0.001,normal,0.978000,130.937110
lenet5,1,6,512,0.1,0.001,normal,0.977000,247.827222
lenet5,8,3,512,0.1,0.001,normal,0.978500,129.963876
lenet5,1,3,512,0.1,0.001,normal,0.977300,246.869635
lenet5,8,6,256,0.1,0.001,normal,0.983500,189.956044
lenet5,1,6,256,0.1,0.001,slow,0.981100,298.151133
lenet5,8,3,256,0.1,0.001,normal,0.980900,189.914623
lenet5,1,3,256,0.1,0.001,slow,0.982300,297.258593
lenet5,8,6,512,0.001,0.001,slow,0.467100,130.691771
lenet5,1,6,512,0.001,0.001,slow,0.550600,248.898883
lenet5,8,3,512,0.001,0.001,slow,0.590200,131.023649
lenet5,1,3,512,0.001,0.001,slow,0.553400,249.198562
lenet5,8,6,256,0.001,0.001,slow,0.681500,189.971497
lenet5,1,6,256,0.001,0.001,slow,0.633100,298.109753
lenet5,8,3,256,0.001,0.001,slow,0.625800,190.028957
lenet5,1,3,256,0.001,0.001,slow,0.709800,297.022144
lenet5,8,6,512,0.1,0.0001,normal,0.981300,130.182236
lenet5,1,6,512,0.1,0.0001,normal,0.984800,247.649846
lenet5,8,3,512,0.1,0.0001,normal,0.982400,130.553234
lenet5,1,3,512,0.1,0.0001,normal,0.981100,246.706474
lenet5,8,6,256,0.1,0.0001,normal,0.985100,190.007583
lenet5,1,6,256,0.1,0.0001,slow,0.986800,297.350192
lenet5,8,3,256,0.1,0.0001,normal,0.987000,189.039851
lenet5,1,3,256,0.1,0.0001,slow,0.987000,296.043211
lenet5,8,6,512,0.001,0.0001,slow,0.666600,129.778287
lenet5,1,6,512,0.001,0.0001,slow,0.673900,246.623903
lenet5,8,3,512,0.001,0.0001,slow,0.674600,130.843195
lenet5,1,3,512,0.001,0.0001,slow,0.664600,247.288316
lenet5,8,6,256,0.001,0.0001,slow,0.777600,189.615922
lenet5,1,6,256,0.001,0.0001,slow,0.771300,297.871889
lenet5,8,3,256,0.001,0.0001,normal,0.820300,190.819237
lenet5,1,3,256,0.001,0.0001,slow,0.804700,297.101780
lenet5,8,6,512,0.1,0.001,normal,0.978600,129.897898
lenet5,1,6,512,0.1,0.001,normal,0.979200,246.687833
lenet5,8,3,512,0.1,0.001,normal,0.977200,130.937094
lenet5,1,3,512,0.1,0.001,normal,0.978500,248.859951
lenet5,8,6,256,0.1,0.001,normal,0.981700,189.977394
lenet5,1,6,256,0.1,0.001,slow,0.980000,299.090579
lenet5,8,3,256,0.1,0.001,normal,0.981300,192.845349
lenet5,1,3,256,0.1,0.001,slow,0.979900,299.992657
lenet5,8,6,512,0.001,0.001,slow,0.627300,133.052087
lenet5,1,6,512,0.001,0.001,slow,0.635300,250.106000
lenet5,8,3,512,0.001,0.001,slow,0.497500,134.071533
lenet5,1,3,512,0.001,0.001,slow,0.500700,251.074428
lenet5,8,6,256,0.001,0.001,slow,0.627500,194.202126
lenet5,1,6,256,0.001,0.001,slow,0.629400,301.395837
lenet5,8,3,256,0.001,0.001,slow,0.585800,192.889273
lenet5,1,3,256,0.001,0.001,slow,0.677300,301.185460
lenet5,8,6,512,0.1,0.0001,normal,0.982500,133.043915
lenet5,1,6,512,0.1,0.0001,normal,0.984300,249.294520
lenet5,8,3,512,0.1,0.0001,normal,0.981700,131.874936
lenet5,1,3,512,0.1,0.0001,normal,0.983500,246.880300
lenet5,8,6,256,0.1,0.0001,normal,0.985000,189.807139
lenet5,1,6,256,0.1,0.0001,slow,0.986600,297.023274
lenet5,8,3,256,0.1,0.0001,normal,0.985400,190.948550
lenet5,1,3,256,0.1,0.0001,slow,0.984700,298.991012
lenet5,8,6,512,0.001,0.0001,slow,0.647200,131.926883
lenet5,1,6,512,0.001,0.0001,slow,0.641800,247.635785
lenet5,8,3,512,0.001,0.0001,slow,0.697900,132.003022
lenet5,1,3,512,0.001,0.0001,slow,0.641300,248.235538
lenet5,8,6,256,0.001,0.0001,slow,0.780400,190.865829
lenet5,1,6,256,0.001,0.0001,slow,0.764600,299.645393
lenet5,8,3,256,0.001,0.0001,slow,0.774000,188.842687
lenet5,1,3,256,0.001,0.0001,slow,0.747700,295.729998
